Country,Clicks,Impressions,CTR,Position
Tunisia,99,1468,6.74%,6.98
India,3,63,4.76%,9.7
France,1,131,0.76%,10.54
Morocco,1,23,4.35%,17.74
United Arab Emirates,1,22,4.55%,3.86
Russia,1,13,7.69%,10.15
Jordan,1,6,16.67%,14.33
Malaysia,1,5,20%,5.2
Hong Kong,1,4,25%,10.25
Bulgaria,1,1,100%,6.0
United States,0,360,0%,10.59
Belgium,0,43,0%,42.53
Canada,0,37,0%,5.11
Netherlands,0,33,0%,7.36
Algeria,0,31,0%,25.29
Ukraine,0,28,0%,3.54
Bangladesh,0,28,0%,4.07
Mexico,0,26,0%,3.27
Indonesia,0,25,0%,7.8
Germany,0,15,0%,7.33
United Kingdom,0,15,0%,14.53
Vietnam,0,13,0%,6.23
Philippines,0,13,0%,24.62
Switzerland,0,12,0%,7.25
Italy,0,12,0%,7.42
Turkey,0,11,0%,9.0
Brazil,0,11,0%,13.73
Madagascar,0,10,0%,2.2
Hungary,0,10,0%,3.3
Pakistan,0,10,0%,12.2
Australia,0,7,0%,6.14
Japan,0,7,0%,8.43
Spain,0,7,0%,8.86
Nigeria,0,6,0%,5.17
Egypt,0,6,0%,6.0
Thailand,0,6,0%,62.67
Peru,0,5,0%,3.4
Taiwan,0,5,0%,3.4
Colombia,0,5,0%,4.6
Romania,0,5,0%,15.6
Mongolia,0,4,0%,2.25
Senegal,0,4,0%,3.25
Singapore,0,4,0%,5.25
Côte d’Ivoire,0,4,0%,6.0
New Zealand,0,4,0%,6.25
Burkina Faso,0,4,0%,19.25
Saudi Arabia,0,4,0%,29.5
Ecuador,0,3,0%,2.0
Lithuania,0,3,0%,2.0
Slovakia,0,3,0%,2.67
Venezuela,0,3,0%,5.0
South Africa,0,3,0%,5.33
South Korea,0,3,0%,5.67
Argentina,0,3,0%,17.0
Sri Lanka,0,2,0%,1.0
Paraguay,0,2,0%,1.5
Andorra,0,2,0%,2.0
Iraq,0,2,0%,2.0
Cambodia,0,2,0%,2.5
Ethiopia,0,2,0%,3.0
Honduras,0,2,0%,4.0
Kuwait,0,2,0%,4.0
Uzbekistan,0,2,0%,4.0
Qatar,0,2,0%,4.5
Bosnia & Herzegovina,0,2,0%,5.5
Norway,0,2,0%,5.5
Israel,0,2,0%,6.0
Poland,0,2,0%,6.5
Cameroon,0,2,0%,9.5
Benin,0,2,0%,12.0
Austria,0,1,0%,1.0
Costa Rica,0,1,0%,1.0
Czechia,0,1,0%,1.0
Gabon,0,1,0%,1.0
Kenya,0,1,0%,1.0
Namibia,0,1,0%,1.0
Nepal,0,1,0%,1.0
Tanzania,0,1,0%,1.0
Zimbabwe,0,1,0%,1.0
Mauritania,0,1,0%,2.0
Unknown Region,0,1,0%,2.0
Cuba,0,1,0%,3.0
Greece,0,1,0%,3.0
Guatemala,0,1,0%,3.0
Malta,0,1,0%,3.0
Zambia,0,1,0%,4.0
Congo - Brazzaville,0,1,0%,5.0
China,0,1,0%,6.0
Denmark,0,1,0%,6.0
Moldova,0,1,0%,6.0
Congo - Kinshasa,0,1,0%,7.0
Iran,0,1,0%,7.0
Portugal,0,1,0%,7.0
Latvia,0,1,0%,8.0
Mali,0,1,0%,8.0
Guinea,0,1,0%,9.0
Réunion,0,1,0%,9.0
Lebanon,0,1,0%,10.0
Chile,0,1,0%,11.0
Togo,0,1,0%,26.0
