page,clicks,impressions,ctr,position,path
https://www.worku.tn/,68,884,7.69%,9.67,/
https://worku.tn/,22,683,3.22%,6.36,/
https://www.worku.tn/recherche-profils,5,125,4%,12.94,/recherche-profils
https://www.worku.tn/recrutement,4,142,2.82%,8.89,/recrutement
https://www.worku.tn/prospection-commerciale,2,97,2.06%,11.71,/prospection-commerciale
https://www.worku.tn/creer-compte,2,64,3.12%,3.27,/creer-compte
https://www.worku.tn/talent-data,2,54,3.7%,5.96,/talent-data
https://worku.tn/politique-confidentialite?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,1,295,0.34%,1.91,/politique-confidentialite?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://www.worku.tn/a-propos,1,118,0.85%,8.83,/a-propos
https://worku.tn/company-data,1,68,1.47%,3.53,/company-data
https://www.worku.tn/politique-confidentialite,1,58,1.72%,6.07,/politique-confidentialite
https://worku.tn/conditions-utilisation,1,22,4.55%,3.95,/conditions-utilisation
https://worku.tn/blog,1,4,25%,3.0,/blog
https://www.worku.tn/company-data,0,107,0%,9.1,/company-data
https://www.worku.tn/enrichissement-contacts,0,90,0%,17.58,/enrichissement-contacts
https://www.worku.tn/aide,0,64,0%,10.52,/aide
https://worku.tn/talent-data,0,57,0%,6.47,/talent-data
https://www.worku.tn/cree-compte-entreprise,0,37,0%,10.03,/cree-compte-entreprise
https://worku.tn/creer-compte,0,35,0%,4.51,/creer-compte
https://www.worku.tn/blog,0,32,0%,17.34,/blog
https://worku.tn/politique-confidentialite,0,24,0%,5.75,/politique-confidentialite
http://www.worku.tn/,0,22,0%,4.55,/
https://worku.tn/creer-compte?type=company&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,0,19,0%,1.0,/creer-compte?type=company&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://worku.tn/aide,0,18,0%,3.89,/aide
https://worku.tn/enrichissement-contacts,0,18,0%,13.39,/enrichissement-contacts
https://worku.tn/emplois?location=Tunis,0,10,0%,6.6,/emplois?location=Tunis
https://worku.tn/emplois?q=Manager,0,10,0%,11.2,/emplois?q=Manager
http://worku.tn/,0,9,0%,12.0,/
https://www.worku.tn/rejoindre-liste,0,8,0%,7.25,/rejoindre-liste
https://worku.tn/entreprise/sogetrel/689b3813b270d23e2fc8e5de,0,5,0%,7.8,/entreprise/sogetrel/689b3813b270d23e2fc8e5de
https://worku.tn/a-propos,0,3,0%,4.0,/a-propos
https://worku.tn/#analyse-ia-filtres,0,3,0%,7.33,/#analyse-ia-filtres
https://worku.tn/#engagement-candidat,0,3,0%,7.33,/#engagement-candidat
https://worku.tn/#sourcing-mondial,0,3,0%,7.33,/#sourcing-mondial
https://worku.tn/a-propos?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,0,2,0%,5.0,/a-propos?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://worku.tn/sourcing?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,0,1,0%,3.0,/sourcing?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://worku.tn/aide?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,0,1,0%,5.0,/aide?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://worku.tn/sourcing,0,1,0%,6.0,/sourcing
http://www.worku.tn/#analyse-ia-filtres,0,1,0%,12.0,/#analyse-ia-filtres
http://www.worku.tn/#engagement-candidat,0,1,0%,12.0,/#engagement-candidat
http://www.worku.tn/#sourcing-mondial,0,1,0%,12.0,/#sourcing-mondial
